Year,Payment Date,Record Date,Amount,Adj Split
1984,1984-05-01,1984-03-30,1.4,1.4
1984,1984-08-01,1984-06-29,1.4,1.4
1984,1984-11-01,1984-09-28,1.4,1.4
1985,1985-02-01,1985-01-10,1.4,1.4
1985,1985-05-01,1985-04-10,1.5,1.5
1985,1985-08-01,1985-07-10,1.5,1.5
1985,1985-11-01,1985-10-10,1.5,1.5
1986,1986-02-01,1986-01-10,1.5,1.5
1986,1986-05-01,1986-04-10,1.6,1.6
1986,1986-08-01,1986-07-10,1.6,1.6
1986,1986-11-01,1986-10-10,1.6,1.6
1987,1987-02-01,1987-01-09,1.6,1.6
1987,1987-05-01,1987-04-10,1.74,1.74
1987,1987-08-01,1987-07-10,0.58,1.7399999999999998
1987,1987-11-01,1987-10-09,0.58,1.7399999999999998
1988,1988-02-01,1988-01-08,0.58,1.7399999999999998
1988,1988-05-02,1988-04-08,0.62,1.8599999999999999
1988,1988-08-01,1988-07-08,0.62,1.8599999999999999
1988,1988-11-01,1988-10-11,0.62,1.8599999999999999
1989,1989-02-01,1989-01-10,0.62,1.8599999999999999
1989,1989-05-01,1989-04-10,0.65,1.9500000000000002
1989,1989-08-01,1989-07-11,0.65,1.9500000000000002
1989,1989-11-01,1989-10-10,0.65,1.9500000000000002
1990,1990-02-01,1990-01-10,0.65,1.9500000000000002
1990,1990-05-01,1990-04-10,0.69,2.07
1990,1990-08-01,1990-07-10,0.69,2.07
1990,1990-11-01,1990-10-10,0.69,2.07
1991,1991-02-01,1991-01-10,0.69,2.07
1991,1991-05-01,1991-04-10,0.71,2.13
1991,1991-08-01,1991-07-10,0.71,2.13
1991,1991-11-01,1991-10-10,0.71,2.13
1992,1992-02-03,1992-01-10,0.71,2.13
1992,1992-05-01,1992-04-10,0.73,2.19
1992,1992-08-03,1992-07-10,0.73,2.19
1992,1992-11-02,1992-10-11,0.73,2.19
1993,1993-02-01,1993-01-10,0.73,2.19
1993,1993-05-03,1993-04-10,0.3775,1.1325
1993,1993-08-02,1993-07-10,0.3775,2.265
1993,1993-11-01,1993-10-10,0.3775,2.265
1994,1994-02-01,1994-01-10,0.3775,2.265
1994,1994-05-02,1994-04-10,0.395,2.37
1994,1994-08-01,1994-07-10,0.395,2.37
1994,1994-11-01,1994-10-11,0.395,2.37
1995,1995-02-01,1995-01-10,0.395,2.37
1995,1995-05-01,1995-04-10,0.4125,2.4749999999999996
1995,1995-08-01,1995-07-10,0.4125,2.4749999999999996
1995,1995-11-01,1995-10-10,0.4125,2.4749999999999996
1996,1996-02-01,1996-01-10,0.4125,2.4749999999999996
1996,1996-05-01,1996-04-10,0.43,2.58
1996,1996-08-01,1996-07-10,0.43,2.58
1996,1996-11-01,1996-10-10,0.43,2.58
1997,1997-02-03,1997-01-10,0.43,2.58
1997,1997-05-01,1997-03-28,0.4475,2.685
1997,1997-08-01,1997-07-10,0.4475,2.685
1997,1997-11-03,1997-10-10,0.4475,2.685
1998,1998-02-02,1998-01-10,0.4475,2.685
1998,1998-05-01,1998-04-10,0.23375,2.805
1998,1998-08-03,1998-07-10,0.23375,2.805
1998,1998-11-02,1998-10-10,0.23375,2.805
1999,1999-02-01,1999-01-10,0.23375,2.805
1999,1999-05-03,1999-04-10,0.24375,2.925
1999,1999-08-02,1999-07-10,0.24375,2.925
1999,1999-11-01,1999-09-09,0.24375,2.925
2000,2000-02-01,2000-01-10,0.24375,2.925
2000,2000-05-01,2000-04-10,0.25375,3.045
2000,2000-08-01,2000-07-10,0.25375,3.045
2000,2000-11-01,2000-10-10,0.25375,3.045
2001,2001-02-01,2001-01-10,0.25375,3.045
2001,2001-05-01,2001-04-10,0.25625,3.0749999999999997
2001,2001-08-01,2001-07-10,0.25625,3.0749999999999997
2001,2001-11-01,2001-10-10,0.25625,3.0749999999999997
2002,2002-02-01,2002-01-10,0.25625,3.0749999999999997
2002,2002-05-01,2002-04-10,0.27,3.24
2002,2002-08-01,2002-07-10,0.27,3.24
2002,2002-11-01,2002-10-10,0.27,3.24
2003,2003-02-03,2003-01-10,0.27,3.24
2003,2003-05-01,2003-04-10,0.2825,3.3899999999999997
2003,2003-05-01,2003-04-10,0.05,0.6000000000000001
2003,2003-08-01,2003-07-10,0.1,1.2000000000000002
2003,2003-08-01,2003-07-10,0.2825,3.3899999999999997
2003,2003-11-03,2003-10-10,0.1,1.2000000000000002
2003,2003-11-03,2003-10-10,0.2825,3.3899999999999997
2004,2004-02-02,2004-01-10,0.3125,3.75
2004,2004-05-03,2004-04-10,0.3125,3.75
2004,2004-08-02,2004-07-10,0.3125,3.75
2004,2004-11-01,2004-10-08,0.3125,3.75
2005,2005-02-01,2005-01-10,0.3225,3.87
2005,2005-05-02,2005-04-08,0.3225,3.87
2005,2005-08-01,2005-07-08,0.3225,3.87
2005,2005-11-01,2005-10-10,0.3225,3.87
2006,2006-02-01,2006-01-10,0.3325,3.99
2006,2006-05-01,2006-04-10,0.3325,3.99
2006,2006-08-01,2006-07-10,0.3325,3.99
2006,2006-11-01,2006-10-10,0.3325,3.99
2007,2007-02-01,2007-01-10,0.355,4.26
2007,2007-05-01,2007-04-10,0.355,4.26
2007,2007-08-01,2007-07-10,0.355,4.26
2007,2007-11-01,2007-10-10,0.355,4.26
2008,2008-02-01,2008-01-10,0.4,4.800000000000001
2008,2008-05-01,2008-04-10,0.4,4.800000000000001
2008,2008-08-01,2008-07-10,0.4,4.800000000000001
2008,2008-11-03,2008-10-10,0.4,4.800000000000001
2009,2009-02-02,2009-01-09,0.41,4.92
2009,2009-05-01,2009-04-09,0.41,4.92
2009,2009-08-03,2009-07-10,0.41,4.92
2009,2009-11-02,2009-10-09,0.41,4.92
2010,2010-02-01,2010-01-08,0.42,5.04
2010,2010-05-03,2010-04-09,0.42,5.04
2010,2010-08-02,2010-07-09,0.42,5.04
2010,2010-11-01,2010-10-08,0.42,5.04
2011,2011-02-01,2011-01-10,0.43,5.16
2011,2011-05-02,2011-04-08,0.43,5.16
2011,2011-08-01,2011-07-08,0.43,5.16
2011,2011-11-01,2011-10-10,0.43,5.16
2012,2012-02-01,2012-01-10,0.44,5.28
2012,2012-05-01,2012-04-10,0.44,5.28
2012,2012-08-01,2012-07-10,0.44,5.28
2012,2012-11-01,2012-10-10,0.44,5.28
2013,2013-02-01,2013-01-10,0.45,5.4
2013,2013-05-01,2013-04-10,0.45,5.4
2013,2013-08-01,2013-07-10,0.45,5.4
2013,2013-11-01,2013-10-10,0.45,5.4
2014,2014-02-03,2014-01-10,0.46,5.5200000000000005
2014,2014-05-01,2014-04-10,0.46,5.5200000000000005
2014,2014-08-01,2014-07-10,0.46,5.5200000000000005
2014,2014-11-03,2014-10-10,0.46,5.5200000000000005
2015,2015-02-02,2015-01-09,0.47,5.64
2015,2015-05-01,2015-04-10,0.47,5.64
2015,2015-08-03,2015-07-10,0.47,5.64
2015,2015-11-02,2015-10-09,0.47,5.64
2016,2016-02-01,2016-01-08,0.48,5.76
2016,2016-05-02,2016-04-08,0.48,5.76
2016,2016-08-01,2016-07-08,0.48,5.76
2016,2016-11-01,2016-10-10,0.48,5.76
2017,2017-02-01,2017-01-10,0.49,5.88
2017,2017-05-01,2017-04-10,0.49,5.88
2017,2017-08-01,2017-07-10,0.49,5.88
2017,2017-11-01,2017-10-10,0.49,5.88
2018,2018-02-01,2018-01-10,0.5,6.0
2018,2018-05-01,2018-04-10,0.5,6.0
2018,2018-08-01,2018-07-10,0.5,6.0
2018,2018-11-01,2018-10-10,0.5,6.0
2019,2019-02-01,2019-01-10,0.51,6.12
2019,2019-05-01,2019-04-10,0.51,6.12
2019,2019-08-01,2019-07-10,0.51,6.12
2019,2019-11-01,2019-10-10,0.51,6.12
2020,2020-02-03,2020-01-10,0.52,6.24
2020,2020-05-01,2020-04-09,0.52,6.24
2020,2020-08-03,2020-07-10,0.52,6.24
2020,2020-11-02,2020-10-12,0.52,6.24
2021,2021-02-01,2021-01-11,0.52,6.24
2021,2021-05-03,2021-04-09,0.52,6.24
2021,2021-08-02,2021-07-09,0.52,6.24
2021,2021-11-01,2021-10-11,0.52,6.24
2022,2022-02-01,2022-01-10,0.52,6.24
2022,2022-05-02,2022-04-14,0.2775,3.33
2022,2022-08-01,2022-07-11,0.2775,3.33
2022,2022-11-01,2022-10-10,0.2775,3.33
2023,2023-02-01,2023-01-10,0.2775,3.33
2023,2023-05-01,2023-04-10,0.2775,3.33
2023,2023-08-01,2023-07-10,0.2775,3.33
2023,2023-11-01,2023-10-10,0.2775,3.33
2024,2024-02-01,2024-01-10,0.2775,3.33
2024,2024-05-01,2024-04-10,0.2775,3.33
2024,2024-08-01,2024-07-10,0.2775,3.33
2024,2024-11-01,2024-10-10,0.2775,3.33
2025,2025-02-03,2025-01-10,0.2775,3.33
2025,2025-05-01,2025-04-10,0.2775,3.33
2025,2025-11-03,2025-10-10,0.2775,3.33
